"County Name","Party","Count"
"BLAIR","IDK","1"
"BLAIR","IND","1"
"BLAIR","INDE","2"
"BLAIR","IT","1"
"BLAIR","ITENT","2"
"BLAIR","LN","72"
"BLAIR","M","1"
"BLAIR","NF","1,334"
"BLAIR","NO","9"
"BLAIR","NON","16"
"BLAIR","NOP","234"
"BLAIR","NTS","1"
"BLAIR","OTH","40"
"BLAIR","R","9,163"
"BLAIR","SPU","1"
"BLAIR","UND","1"
"BLAIR",,"9"
"BRADFORD","AI","1"
"BRADFORD","AZPA","1"
"BRADFORD","C","3"
"BRADFORD","CL","1"
"BRADFORD","D","3,343"
"BRADFORD","GP","1"
"BRADFORD","GR","14"
"BRADFORD","I","108"
"BRADFORD","IND","1"
"BRADFORD","INDE","12"
"BRADFORD","IR","1"
"BRADFORD","LI","1"
"BRADFORD","LN","32"
"BRADFORD","N","1"
"BRADFORD","NF","516"
"BRADFORD","NO","80"
"BRADFORD","NON","5"
"BRADFORD","OTH","25"
"BRADFORD","PP","1"
"BRADFORD","R","3,694"
"BRADFORD",,"15"
"BUCKS","AC","1"
"BUCKS","AI","6"
"BUCKS","AM","4"
"BUCKS","ASP","1"
"BUCKS","B","1"
"BUCKS","BP","2"
"BUCKS","C","9"
"BUCKS","CL","12"
"BUCKS","CM","2"
"BUCKS","CNT","1"
"BUCKS","CO","2"
"BUCKS","CT","3"
"BUCKS","CTT","1"
"BUCKS","D","110,796"
"BUCKS","DKY","1"
"BUCKS","DS","2"
"BUCKS","FD","1"
"BUCKS","GOP","1"
"BUCKS","GP","1"
"BUCKS","GR","203"
"BUCKS","H","1"
"BUCKS","I","2,098"
"BUCKS","ID","6"
"BUCKS","IDK","1"
"BUCKS","IND","14"
"BUCKS","INDE","28"
"BUCKS","IR","7"
"BUCKS","ITENT","1"
"BUCKS","IV","1"
"BUCKS","LI","11"
"BUCKS","LN","714"
"BUCKS","M","3"
"BUCKS","MW","1"
"BUCKS","N","3"
"BUCKS","NE","1"
"BUCKS","NF","18,989"
"BUCKS","NO","3,967"
"BUCKS","NON","189"
"BUCKS","NOP","312"
"BUCKS","NTS","9"
"BUCKS","OP","1"
"BUCKS","OTH","596"
"BUCKS","PP","3"
"BUCKS","R","54,802"
"BUCKS","RD","1"
"BUCKS","RF","7"
"BUCKS","RL","1"
"BUCKS","S","3"
"BUCKS","SWP","1"
"BUCKS","UNA","5"
"BUCKS","UND","12"
"BUCKS","UNK","7"
"BUCKS","UT","1"
"BUCKS","WH","1"
"BUCKS",,"41"
"BUTLER","AC","1"
"BUTLER","C","1"
"BUTLER","CO","1"
"BUTLER","CT","5"
"BUTLER","D","19,674"
"BUTLER","GR","39"
"BUTLER","I","568"
"BUTLER","ID","1"
"BUTLER","IND","1"
"BUTLER","INDE","15"
"BUTLER","IR","1"
"BUTLER","LI","2"
"BUTLER","LN","151"
"BUTLER","M","2"
"BUTLER","NF","3,260"
"BUTLER","NO","527"
"BUTLER","NON","58"
"BUTLER","NOP","15"
"BUTLER","NPF","1"
"BUTLER","OTH","96"
"BUTLER","PIR","1"
"BUTLER","R","15,745"
"BUTLER","RP","1"
"BUTLER","UNA","1"
"BUTLER","UND","4"
"BUTLER",,"23"
"CAMBRIA","BP","1"
"CAMBRIA","C","2"
"CAMBRIA","CL","4"
"CAMBRIA","CT","2"
"CAMBRIA","CTT","1"
"CAMBRIA","D","13,318"
