"Year","County FIPS Code","County Name","Gross Domestic Product ($1,000)","GDP Unit of Measure"
"2022","42039","Crawford, PA","$3,506,170","Thousands of dollars"
"2022","42041","Cumberland, PA","$20,487,660","Thousands of dollars"
"2022","42043","Dauphin, PA","$26,242,602","Thousands of dollars"
"2022","42045","Delaware, PA","$39,974,688","Thousands of dollars"
"2022","42047","Elk, PA","$1,666,961","Thousands of dollars"
"2022","42049","Erie, PA","$13,248,530","Thousands of dollars"
"2022","42051","Fayette, PA","$4,971,461","Thousands of dollars"
"2022","42053","Forest, PA","$265,770","Thousands of dollars"
"2022","42055","Franklin, PA","$7,607,028","Thousands of dollars"
"2022","42057","Fulton, PA","$753,716","Thousands of dollars"
"2022","42059","Greene, PA","$5,010,882","Thousands of dollars"
"2022","42061","Huntingdon, PA","$1,498,483","Thousands of dollars"
"2022","42063","Indiana, PA","$4,294,612","Thousands of dollars"
"2022","42065","Jefferson, PA","$1,749,570","Thousands of dollars"
"2022","42067","Juniata, PA","$1,027,320","Thousands of dollars"
"2022","42069","Lackawanna, PA","$12,165,831","Thousands of dollars"
"2022","42071","Lancaster, PA","$36,854,449","Thousands of dollars"
"2022","42073","Lawrence, PA","$3,897,362","Thousands of dollars"
"2022","42075","Lebanon, PA","$7,462,278","Thousands of dollars"
"2022","42077","Lehigh, PA","$28,175,320","Thousands of dollars"
"2022","42079","Luzerne, PA","$18,155,919","Thousands of dollars"
"2022","42081","Lycoming, PA","$7,154,393","Thousands of dollars"
"2022","42083","McKean, PA","$2,322,451","Thousands of dollars"
"2022","42085","Mercer, PA","$5,070,137","Thousands of dollars"
"2022","42087","Mifflin, PA","$2,150,707","Thousands of dollars"
"2022","42089","Monroe, PA","$8,576,529","Thousands of dollars"
"2022","42091","Montgomery, PA","$103,308,471","Thousands of dollars"
"2022","42093","Montour, PA","$2,405,626","Thousands of dollars"
"2022","42095","Northampton, PA","$19,029,803","Thousands of dollars"
"2022","42097","Northumberland, PA","$4,050,175","Thousands of dollars"
"2022","42099","Perry, PA","$1,224,238","Thousands of dollars"
"2022","42101","Philadelphia, PA","$121,855,648","Thousands of dollars"
"2022","42103","Pike, PA","$1,764,785","Thousands of dollars"
"2022","42105","Potter, PA","$963,053","Thousands of dollars"
"2022","42107","Schuylkill, PA","$5,984,173","Thousands of dollars"
"2022","42109","Snyder, PA","$2,108,581","Thousands of dollars"
"2022","42111","Somerset, PA","$2,859,102","Thousands of dollars"
"2022","42113","Sullivan, PA","$460,809","Thousands of dollars"
"2022","42115","Susquehanna, PA","$3,838,021","Thousands of dollars"
"2022","42117","Tioga, PA","$2,108,431","Thousands of dollars"
"2022","42119","Union, PA","$2,291,448","Thousands of dollars"
"2022","42121","Venango, PA","$2,140,919","Thousands of dollars"
"2022","42123","Warren, PA","$1,670,178","Thousands of dollars"
"2022","42125","Washington, PA","$17,418,414","Thousands of dollars"
"2022","42127","Wayne, PA","$2,348,129","Thousands of dollars"
"2022","42129","Westmoreland, PA","$17,977,595","Thousands of dollars"
"2022","42131","Wyoming, PA","$2,017,606","Thousands of dollars"
"2022","42133","York, PA","$25,607,422","Thousands of dollars"
"2021","42001","Adams, PA","$4,209,881","Thousands of dollars"
"2021","42003","Allegheny, PA","$110,980,876","Thousands of dollars"
"2021","42005","Armstrong, PA","$2,290,617","Thousands of dollars"
"2021","42007","Beaver, PA","$7,791,103","Thousands of dollars"
"2021","42009","Bedford, PA","$1,666,089","Thousands of dollars"
"2021","42011","Berks, PA","$22,217,194","Thousands of dollars"
"2021","42013","Blair, PA","$6,800,618","Thousands of dollars"
"2021","42015","Bradford, PA","$4,918,210","Thousands of dollars"
"2021","42017","Bucks, PA","$39,177,581","Thousands of dollars"
"2021","42019","Butler, PA","$11,827,327","Thousands of dollars"
"2021","42021","Cambria, PA","$5,155,581","Thousands of dollars"
"2021","42023","Cameron, PA","$235,196","Thousands of dollars"
"2021","42025","Carbon, PA","$2,732,339","Thousands of dollars"
"2021","42027","Centre, PA","$9,754,634","Thousands of dollars"
"2021","42029","Chester, PA","$49,746,805","Thousands of dollars"
"2021","42031","Clarion, PA","$1,274,084","Thousands of dollars"
"2021","42033","Clearfield, PA","$3,164,031","Thousands of dollars"
